代码,名称,outstandings
301345,涛涛车业,25296160.0
688591,泰凌微,52045168.0
600129,太极集团,556890744.0
603681,永冠新材,191130697.0
600360,华微电子,960295304.0
002251,*ST步高,863903951.0
600698,湖南天雁,830167821.0
300388,节能国祯,697312804.0
300426,唐德影视,396368296.0
603232,格尔软件,233314695.0
300411,金盾股份,270234691.0
605151,西上海,64008941.0
688184,帕瓦股份,59699378.0
301141,中科磁业,
603719,良品铺子,
603183,建研院,
002727,一心堂,
300394,天孚通信,
300049,福瑞股份,
688670,金迪克,
300660,江苏雷利,
603356,华菱精工,
833575,康乐卫士,
600615,丰华股份,
601500,通用股份,
603029,天鹅股份,
605138,盛泰集团,
601686,友发集团,
001360,南矿集团,
300429,强力新材,
300755,华致酒行,
001208,华菱线缆,
301377,鼎泰高科,
300596,利安隆,
603125,常青科技,
600008,首创环保,
300517,海波重科,
002590,万安科技,
836957,汉维科技,
870508,丰安股份,
002734,利民股份,
600229,城市传媒,
001278,一彬科技,
000591,太阳能,
600251,冠农股份,
600263,路桥建设,
600383,金地集团,
601166,兴业银行,
601218,吉鑫科技,
001358,兴欣新材,
603036,如通股份,
301203,国泰环保,
688139,海尔生物,
601010,文峰股份,
300655,晶瑞电材,
600446,金证股份,
600992,贵绳股份,
603916,苏博特,
301558,三态股份,
600769,祥龙电业,
002401,中远海科,
600605,汇通能源,
000015,PT中浩A,
688390,固德威,
688620,安凯微,
002888,惠威科技,
301085,亚康股份,
300383,光环新网,
000923,河钢资源,
300883,龙利得,
002149,西部材料,
002099,海翔药业,
002928,华夏航空,
688125,安达智能,
002275,桂林三金,
002002,ST鸿达,
600987,航民股份,
000429,粤高速Ａ,
300480,光力科技,
603520,司太立,
300927,江天化学,
600692,亚通股份,
300581,晨曦航空,
605178,时空科技,
002229,鸿博股份,
301353,普莱得,
002116,中国海诚,
600571,信雅达,
300686,智动力,
603607,京华激光,
603193,润本股份,
603713,密尔克卫,
600640,国脉文化,
301302,华如科技,
688036,传音控股,
688779,长远锂科,
002763,汇洁股份,
002201,正威新材,
002577,雷柏科技,
600840,新湖创业,
688022,瀚川智能,
002461,珠江啤酒,
001283,豪鹏科技,
300052,中青宝,
002892,科力尔,
300923,研奥股份,
000024,招商地产,
300246,宝莱特,
300624,万兴科技,
600867,通化东宝,
605158,华达新材,
000886,海南高速,
688168,安博通,
002160,常铝股份,
600483,福能股份,
688097,博众精工,
600252,中恒集团,
002465,海格通信,
688132,邦彦技术,
002418,康盛股份,
002997,瑞鹄模具,
688455,科捷智能,
601333,广深铁路,
603486,科沃斯,
601117,中国化学,
002206,海 利 得,
300608,思特奇,
000919,金陵药业,
000981,山子股份,
600636,国新文化,
601998,中信银行,
000822,山东海化,
688611,杭州柯林,
688416,恒烁股份,
600122,*ST宏图,
688280,精进电动-UW,
300473,德尔股份,
688475,萤石网络,
688119,中钢洛耐,
000026,飞亚达,
000795,英洛华,
688488,艾迪药业,
600510,黑牡丹,
600555,退市海创,
688193,仁度生物,
600189,泉阳泉,
688511,天微电子,
000929,兰州黄河,
600171,上海贝岭,
003038,鑫铂股份,
300498,温氏股份,
600759,*ST洲际,
002268,电科网安,
600661,昂立教育,
688601,力芯微,
002220,天宝退,
300786,国林科技,
600858,银座股份,
603809,豪能股份,
600335,国机汽车,
603320,迪贝电气,
834765,美之高,
002102,冠福股份,
603855,华荣股份,
688382,益方生物-U,
300951,博硕科技,
300319,麦捷科技,
601595,上海电影,
000025,特  力Ａ,
300050,世纪鼎利,
300018,中元股份,
600168,武汉控股,
603289,泰瑞机器,
870976,视声智能,
002986,宇新股份,
600596,新安股份,
601238,广汽集团,
603477,巨星农牧,
603235,天新药业,
600210,紫江企业,
002387,维信诺,
600777,新潮能源,
600728,佳都科技,
601137,博威合金,
300438,鹏辉能源,
301045,天禄科技,
836247,华密新材,
000758,中色股份,
002325,洪涛股份,
600459,贵研铂业,
600602,云赛智联,
688207,格灵深瞳,
002587,奥拓电子,
300932,三友联众,
301289,国缆检测,
301226,祥明智能,
002870,香山股份,
872925,锦好医疗,
001366,播恩集团,
603858,步长制药,
688107,安路科技,
603767,中马传动,
688121,卓然股份,
603887,城地香江,
300746,汉嘉设计,
300258,精锻科技,
600560,金自天正,
300179,四方达,
688058,宝兰德,
300816,艾可蓝,
603551,奥普家居,
301310,鑫宏业,
002184,海得控制,
300553,集智股份,
002636,金安国纪,
605499,东鹏饮料,
300396,迪瑞医疗,
002785,万里石,
002641,公元股份,
871970,大禹生物,
605305,中际联合,
600468,百利电气,
300092,科新机电,
002208,合肥城建,
603738,泰晶科技,
688560,明冠新材,
002830,名雕股份,
600522,中天科技,
603816,顾家家居,
002663,普邦股份,
002028,思源电气,
300108,ST吉药,
002591,恒大高新,
300082,奥克股份,
688013,天臣医疗,
002524,光正眼科,
300465,高伟达,
300815,玉禾田,
301216,万凯新材,
301338,凯格精机,
603005,晶方科技,
603931,格林达,
600458,时代新材,
002896,中大力德,
002510,天汽模,
605188,国光连锁,
300682,朗新科技,
833346,威贸电子,
002147,新光退,
600660,福耀玻璃,
603685,晨丰科技,
002716,金贵银业,
603856,东宏股份,
300710,万隆光电,
600879,航天电子,
002269,美邦服饰,
603139,康惠制药,
002301,齐心集团,
600979,广安爱众,
600552,凯盛科技,
600491,龙元建设,
688576,西山科技,
300326,凯利泰,
000939,凯迪退,
002709,天赐材料,
300104,乐视退,
000975,银泰黄金,
300259,新天科技,
600779,水井坊,
002943,宇晶股份,
603518,锦泓集团,
000626,远大控股,
873833,美心翼申,
300860,锋尚文化,
300543,朗科智能,
836419,万德股份,
301299,卓创资讯,
002602,世纪华通,
300725,药石科技,
002080,中材科技,
001872,招商港口,
601665,齐鲁银行,
300083,创世纪,
301042,安联锐视,
603798,康普顿,
603297,永新光学,
300851,交大思诺,
600754,锦江酒店,
002171,楚江新材,
002281,光迅科技,
000798,中水渔业,
002882,金龙羽,
688631,莱斯信息,
301503,智迪科技,
300442,润泽科技,
301307,美利信,
301418,协昌科技,
300770,新媒股份,
688218,江苏北人,
688569,铁科轨道,
